Low_Threshold,High_Threshold,Resolution_Rate,Resolved_Accuracy,Gray_Zone_N,Gray_Zone_%,N_Classified_Negative,N_Classified_Positive
0.15,0.65,0.425,0.8602941176470589,184,57.49999999999999,9,127
0.15,0.7,0.4125,0.8787878787878788,188,58.75,9,123
0.15,0.75,0.396875,0.889763779527559,193,60.3125,9,118
0.15,0.8,0.35,0.8839285714285714,208,65.0,9,103
0.15,0.85,0.275,0.875,232,72.5,9,79
0.2,0.65,0.6,0.8541666666666666,128,40.0,65,127
0.2,0.7,0.5875,0.8670212765957447,132,41.25,65,123
0.2,0.75,0.571875,0.8743169398907104,137,42.8125,65,118
0.2,0.8,0.525,0.8690476190476191,152,47.5,65,103
0.2,0.85,0.45,0.8611111111111112,176,55.00000000000001,65,79
0.25,0.65,0.79375,0.8543307086614174,66,20.625,127,127
0.25,0.7,0.78125,0.864,70,21.875,127,123
0.25,0.75,0.765625,0.8693877551020408,75,23.4375,127,118
0.25,0.8,0.71875,0.8652173913043478,90,28.125,127,103
0.25,0.85,0.64375,0.8592233009708737,114,35.625,127,79
0.3,0.65,0.821875,0.8517110266159695,57,17.8125,136,127
0.3,0.7,0.809375,0.861003861003861,61,19.0625,136,123
0.3,0.75,0.79375,0.8661417322834646,66,20.625,136,118
0.3,0.8,0.746875,0.8619246861924686,81,25.3125,136,103
0.3,0.85,0.671875,0.8558139534883721,105,32.8125,136,79
0.35,0.65,0.834375,0.8539325842696629,53,16.5625,140,127
0.35,0.7,0.821875,0.8631178707224335,57,17.8125,140,123
0.35,0.75,0.80625,0.8682170542635659,62,19.375,140,118
0.35,0.8,0.759375,0.8641975308641975,77,24.0625,140,103
0.35,0.85,0.684375,0.8584474885844748,101,31.5625,140,79
